productId,productSlug,sku,rating,comment,reviewerName,status,createdAt
13943,,,5,"Mình khá kén nước hoa nên lúc đầu chỉ định thử cho biết. Trên da mình mùi mở đầu hơi rõ nhưng khoảng 10–15 phút sau dịu xuống đẹp hơn nhiều. Đoạn cuối mềm, dễ dùng và không bị ngọt gắt. Xịt đi làm trong phòng máy lạnh ổn, bám áo cũng khá lâu.",Dương Anh Vinh,approved,2026-02-22T17:43:06.000Z
12967,,,5,"Mùi nhẹ, dùng hằng ngày ổn.",Hồ Anh Nam,approved,2026-04-30T11:04:48.000Z
12597,,,5,"Dry down đẹp, càng về sau càng thích.",Võ Minh Ngân,approved,2026-09-11T01:27:46.000Z
12510,,,5,"Cách dùng đơn giản, mang theo cũng tiện.",Bùi Quỳnh Nhi,approved,2025-11-05T04:00:36.000Z
13659,,,5,Không quá nồng nên dùng hàng ngày được.,Vũ Khánh Anh,approved,2026-06-22T03:30:17.000Z
12533,,,5,"Mình dùng vài lần thấy chất lượng khá ổn so với giá. Sản phẩm đúng mô tả, đóng gói cẩn thận và sẽ cân nhắc mua lại.",Võ Kim Trang,approved,2026-05-26T01:19:29.000Z
12220,,,5,Không có gì để chê ở tầm giá này.,Hồ Nhật Đạt,approved,2025-12-19T13:18:54.000Z
14067,,,5,Thơm lâu,Ngô Minh Hân,approved,2026-03-02T07:26:55.000Z
13839,,,5,"Bé nhà mình khá kén mùi và thường không chịu hợp tác nếu sản phẩm quá nồng. Loại này mùi nhẹ, cách dùng đơn giản nên bé dùng khá vui vẻ. Mình ưu tiên cảm giác dịu và dễ dùng hằng ngày, trước mắt sản phẩm đáp ứng tốt hai điểm đó.",Huỳnh Bảo Linh,approved,2026-04-11T05:40:24.000Z
12768,,,5,Không quá nồng nên dùng hàng ngày được.,Hoàng Thu Nhung,approved,2025-11-16T10:06:40.000Z
13718,,,5,"Xịt đi làm ổn, tỏa vừa phải.",Đỗ Phương Trang,approved,2026-06-05T15:40:59.000Z
12361,,,5,Sau khi dùng không bị khô căng.,Huỳnh Quỳnh Trâm,approved,2026-01-08T23:19:35.000Z
13778,,,5,"Nhận hàng nguyên vẹn, dùng thực tế thấy ổn. Không có điểm gì quá nổi bật nhưng đúng nhu cầu của mình.",Đỗ Thanh My,approved,2026-06-09T07:16:28.000Z
13373,,,5,"Dưỡng ẩm vừa đủ, không quá nặng mặt.",Đỗ Thanh My,approved,2026-06-15T17:33:02.000Z
13473,,,5,"Dry down đẹp, càng về sau càng thích.",Vũ Ngọc Nhi,approved,2026-07-23T06:14:03.000Z
12553,,,5,Thơm lâu,Ngô Đức Đạt,approved,2026-01-18T22:55:07.000Z
13559,,,5,"Nền da mình không có nhiều mụn, chủ yếu muốn da đều màu và mịn hơn. Dùng vài ngày thấy bề mặt da khá êm, sẽ dùng tiếp.",Hoàng Hữu Kiên,approved,2026-04-08T20:11:28.000Z
14043,,,5,Ổn,Huỳnh Gia Đạt,approved,2026-01-21T01:22:35.000Z
14145,,,5,"Xịt đi làm ổn, tỏa vừa phải.",Dương Mai Hương,approved,2026-05-17T09:09:25.000Z
12985,,,5,"Mình mua vì tò mò nhưng dùng vài hôm lại khá thích. Tỏa hương vừa phải, ngồi phòng máy lạnh không bị ngợp.",Đặng Hoàng Quân,approved,2026-01-21T01:43:21.000Z
14088,,,5,"Mình khá kén nước hoa nên lúc đầu chỉ định thử cho biết. Trên da mình mùi mở đầu hơi rõ nhưng khoảng 10–15 phút sau dịu xuống đẹp hơn nhiều. Đoạn cuối mềm, dễ dùng và không bị ngọt gắt. Xịt đi làm trong phòng máy lạnh ổn, bám áo cũng khá lâu.",Trần Gia Hải,approved,2026-01-22T03:52:47.000Z
12147,,,5,"Chất kem dễ tán, không bị vón khi dùng sau serum. Mình thích cảm giác da mềm nhưng không quá bóng sau khi bôi.",Bùi Hồng Thảo,approved,2026-06-26T17:53:14.000Z
13135,,,5,Ổn áp,Nguyễn Anh Vinh,approved,2026-07-24T01:59:14.000Z
13121,,,5,Mùi sang,Vũ Minh Quân,approved,2026-08-23T07:42:42.000Z
14126,,,4,"Mình mua vì tò mò nhưng dùng vài hôm lại khá thích. Tỏa hương vừa phải, ngồi phòng máy lạnh không bị ngợp. Mùi đẹp nhưng trên da mình lưu chưa lâu như mong đợi.",Vũ Hữu Khang,approved,2026-08-23T15:54:21.000Z
13273,,,5,Sẽ mua lại,Phạm Bảo Hà,approved,2025-12-21T12:48:20.000Z
12278,,,5,"Đóng gói kỹ, sản phẩm nguyên vẹn.",Ngô Quang Tuấn,approved,2025-11-09T20:35:15.000Z
13298,,,5,"Mình dùng vài lần thấy chất lượng khá ổn so với giá. Sản phẩm đúng mô tả, đóng gói cẩn thận và sẽ cân nhắc mua lại.",Dương Ngọc Ngân,approved,2026-07-14T10:07:22.000Z
13862,,,5,Không quá nồng nên dùng hàng ngày được.,Hồ Khánh Hương,approved,2025-12-17T19:30:45.000Z
13450,,,5,Sẽ mua lại,Võ Hồng Thảo,approved,2026-08-31T06:18:17.000Z
13796,,,5,Ok nha,Nguyễn Bảo Thư,approved,2026-03-16T14:58:19.000Z
12933,,,5,"Mình khá kén nước hoa nên lúc đầu chỉ định thử cho biết. Trên da mình mùi mở đầu hơi rõ nhưng khoảng 10–15 phút sau dịu xuống đẹp hơn nhiều. Đoạn cuối mềm, dễ dùng và không bị ngọt gắt. Xịt đi làm trong phòng máy lạnh ổn, bám áo cũng khá lâu.",Vũ Tuấn Thành,approved,2026-08-09T02:32:06.000Z
12826,,,4,"Ổn trong tầm giá, mình cần dùng thêm.",Lê Phương Trang,approved,2026-04-03T06:10:18.000Z
13618,,,5,Dùng ổn,Hồ Gia Long,approved,2026-07-07T13:10:21.000Z
14052,,,4,"Mùi không quá khó dùng, đoạn dry-down mềm và dễ chịu hơn lúc mới xịt. Trên da mình lưu khá ổn. Mùi đẹp nhưng trên da mình lưu chưa lâu như mong đợi.",Phạm Kim Vy,approved,2026-03-07T07:19:33.000Z
12521,,,5,"Mình mua vì tò mò nhưng dùng vài hôm lại khá thích. Tỏa hương vừa phải, ngồi phòng máy lạnh không bị ngợp.",Đặng Hoàng Quân,approved,2026-05-05T06:44:29.000Z
12572,,,5,Nhận hàng đúng sản phẩm.,Lý Bảo Uyên,approved,2025-11-23T11:23:34.000Z
